text,label,notes
I did watch it many times as a kid and it does hold a place in my heart forever. I practically know the entire script by heart.,reaction,
"For sure, I enjoyed it okay but after my first watch I thought ""that's it?"".  It sat with me though and I've found myself thinking about it more and more, especially the soundtrack stuck in my head.

I know some of what we enjoy comes down to projection, so I don't at all begrudge anyone their empty feeling or associating it with Fincher's filmography.  Though if someone wants to attribute their interpretation to his intention in order to fill in the meaning it wasn't meant to have, a part of me can't help but akshually their akshually.",reaction,feelings about the film with soundtrack mentioned decoratively
"I grew up with Ghost Dog getting played at least once a month by my brothers. He was a staple in my house. Additional small role in ensemble, Smoke. It is one of my favorite movies and his performance always gets me. Plus great stuff from Harvey Keitel and William Hurt",reaction,
Definitely agree on that selection tho I've never seen the Zeffirelli.,reaction,"agreement plus admission of not seeing a film, minimal film point"
Says all you need to know about the rest of the film.....,reaction,
Yep. Turned it off halfway through. Everyone seems so hyped about it but the movie came off as slow and unengaging,reaction,"bored impression with ""slow and unengaging"" verdict, no specific"
Oh wow I didn’t think about this but you may be right re: being a bit unwell.,reaction,just agreement with a character-being-unwell read
Glad I'm not alone on it. Was bored out my mind lol,reaction,
"One of our top ten, really. My wife is native, so that may be part. However, we love the performances. Wes Studi, Eric Schweig. Russell Means (I was lucky enough to see him speak once). I have a lot of appreciation for Michael Mann for his work on this film.",reaction,
Definitely not *sexy* fucking!,reaction,
Ballard did not anticipate Julia Ducournau lol,reaction,
*The Last Detail* is a fantastic movie.,reaction,
"This film really took a toll on me and wondering why ANYONE would make a film and call it art or make it into something that is disturbingly disgusting. My first time and only time I ever watched this was when my “friend” introduced me to this, and gladly they are not my friend anymore. But this film really made me disgusted and want to cry, and feel so much empathy for things that can happen. NEVER again will I ever watch this and if anyone says otherwise, then I wouldn’t want to even be around the person and not even be around my future kids especially.",reaction,
I would have loved a film where it's just a son and his court-appointed guardian during a weekend away from his mother who is on trial.,reaction,
"That's interesting, I would wonder if the film has any references to addiction.",reaction,
Some say he did just fine,reaction,
Excellent observation. These are definitely signs of their paternal impulse.,reaction,
None of that excuses the boring-ass characters and exposition of Part 1.,reaction,
"i liked the protagonist too, but lady raven was really annoying. It was frustrating as hell how he kept letting her dunk on him over and over",reaction,
"What are the odds, the thread is 8 years old and we comment on it two days apart!

I share your opinion. The atmosphere of the movie was very unique and there were lots of thoughtful “would I do the same in this situation?” moments. Recently read an interview with Eva Green that she gave decades after the movie was made, and it seems like everyone had fun on set and they stayed in touch, which is great.",reaction,
Taxi Driver is pretty good,reaction,
The progression of the voice in power is an interesting observation I've not considered. I like it.,reaction,
"I know im late to the party buuuuut...This was the worst since 2 imo. It just felt off from the beginning. Straight away I knew it was a different Director yet had know idea prior. Had been looking forward to this after rewatching all except 2, just to see the flow. But this sadly was a massive miss. And Ilsa dying sucked big bad balls.",reaction,
"I walked into the hobbit unaware when that first one came out and I cannot tell you how bad it was and how much I disliked the frame-rate. 

It seems to be a case of wither people don’t notice or people hate it. You won’t see many people think it elevates anything.",reaction,"recounts disliking Hobbit frame rate, mostly impression"
Licorice Pizza is a fantastic PTA film! My wife and I saw it last Sunday. It was a re-watch for me and the first time for her. We both loved it. The film has a positive can-do spirit.,reaction,
Wow that’s insane! I also read the Bp oil rig explosion and spill happened on the first day of filming,reaction,
I understand Barbie's message. Like I said it is shallow and I do not agree with it.,reaction,
"Same! In the latter half I was just praising her like ""W wife fr"" and stuff",reaction,
exactly all the duvall scenes are sooo good,reaction,
but the duvall scenes are amazing...,reaction,
Really? Most of these movies are pretty popular and mainstream.,assertion,
"My only advice, which has been working for me, is simply to watch more movies. The more you watch, the more you have the ability to critique and think. You’ll notice down the line how you fondly remember the pacing of X movie, the camera work of Y movie, and the performances of Z movie after watching more and finding your own preferences. End of the day, enjoyment is subjective, so you’ll never be wrong about how you feel a movie is. The important thing isn’t to be original and feel intellectual, it’s to enjoy the films, and enjoy joining into the discussions, even if only to listen to what others think!

And if sometimes you find your thoughts going against the grain, that’s fine. You won’t line up with the mass opinion on everything, and that’s good. It makes your voice unique.",assertion,
"When you're reading a review, you're usually reading nothing more than an opinion that cites its sources a little more than normal. You can do the same thing, though.   


How often do you feel like you can justify your own opinions without reading an opinion? If there's a scene in a movie you especially like, how well are you able to articulate what exactly you like about it and why?  


Most of the time, I find that when I feel the least sure of my own opinions, it's because I haven't really thought to justify them. So when someone else comes along with a 4 page long justification of their own opinion, it's hard to disagree, because I'm not even sure of what my own thoughts are, exactly.",assertion,
"Honestly, one of the best things you can do is just read and listen to a bunch of good critics. Its not to copy them. It gives you insight into what they're looking for and how they deconstruct a film. Pay specific attention to how they come to their conclusions about what they deem good or bad. You don't even have to agree with it, but it can show you a systematic approach to film criticism. This would help you narrow in on expressing your own opinions on why you like or dislike a film.

There really is an art to expressing your own views when it comes to a specific topic. And like anything else, it just going to take learning and practice to actually get good at it.",assertion,
"Little late here, but I just finished banshees and last week gave In Bruges a rewatch (after 10ish years). 

I found In Bruge to be the more tightly written movie, but both actors have matured significantly in their talent, and so I found the performances were better by both in Banshees. 

Overall, both good to great films and each approach some philosophical ideas with some dark humor.",assertion,
"I love Jackass but did not see the most recent one. It does seem like Jackass is a young man's game, and I would imagine it doesn't work when they seem old and beaten down. 

It doesn't seem like something you recruit for, but I do wonder where the new breed of Jackass-like guys are.",assertion,
"I’m 2 years late to this discussion but the film gets high praises from me because it mirrors my life. I came from a lower middle class family. My mom, while enjoying former glories like the mom from parasite, had the propensity to moonlight as a member of the upper class. She thought having a service job, close to rich people made her part of that world. She’d work in their homes, take some their unused, brand name items and she considered that a win. Her only concept of a retirement plan was me because I was smarter, college educated and I genuinely could fit into both worlds, kinda like the Kim son in this story. In the end, my moms luck ran out before I “made it” in life, just like Mr Kim. Now I live with that burden of wanting to improve my moms circumstances even though she herself was very unrealistic about her life trajectory. Totally not fair that I’m burdened with this but it’s the untold story of tons of people like me. 

I loved the movie because it was my first time witnessing a story so similar to my own being told through film. A lot of it is outrageous but not far fetched at all. It seems like one would need to live a life adjacent to the Kim’s to truly appreciate this story. It’s a 10/10 for me.",assertion,
"There are almost every movie I loved but Godland, also the Northman. Godland in particular is a movie I want to see again and again.

Crimes of the future (I love Cronenberg) is a joke of a movie, shouldn't be in this list.",assertion,
"Nice post, but I think you're being way too pessimistic about phones. People definitely still strike up conversation on trains, especially two hot people in their early 20s riding solo through Europe. You think the modern day Ethan Hawke, an American traveling abroad, full of piss and vinegar, is going to scroll on his phone when Julie Delpy sits down next to him? 

And old couples will *definitely* choose to loudly bicker (no matter their surroundings) instead of sink into their phones. I'm also pretty down on what smartphones have done to this society but I do believe that people still have a pulse out there. Do agree on the overall tone of your post though, great film that feels nostalgic despite never actually being there.",assertion,
"I agree and am quite partial to surrealism myself too. Have you seen Bardo yet? I felt what Innaritu went for with that and was pretty great, Khondi's cinematography was awesome too, and was gutted to see it get a lukewarm reception as it deserves so much more.",assertion,"names cinematographer (Khondji) but decoratively, no specific instance supporting praise"
"I am with you. Bad films have problems that you can't get over, that you can't overlook - so it is (most of the time) easy to put into words what you did not like about such a film.  
Good films often come together perfectly; all the ""moving parts"" are good, but they also combine to create something bigger. Almost impossible to describe in writing (or otherwise).

But even though it is ""easier"", I still don't enjoy writing bad reviews, because it mostly frustrates me. It frustrates me that I watched a bad film when I could have spent that time watching a better one. And it frustrates me that so many people (cast, crew, etc.) had their time wasted producing something that is worse than what they had every right to hope for and expect.  
And it frustrates me, because (while there might be some value in ""warning"" someone), I prefer recommending good films to people rather than suggesting to them what to avoid.",assertion,
"When I love a film, I can gush about it endlessly, for hours and hours, without pause. But I won't usually be talking technicality -- I'll simply talk about the many ways in which I was moved. Moments and beats that affected me on an instinctive and emotional level. When I dislike a film, I find, strangely, that I can do almost the same  thing -- go on endlessly about why I hated it, but in this case I will probably be overly technical about how the film failed. I can do both of these to a similar degree, but one of these activities induces bitterness, and the other spreads joy at mutual appreciation of a work of beauty. So it's an easy choice for me between which one I enjoy doing more. 

The one type of film that I find throws a wrench into this is movies that are neither good nor bad -- mediocre films. I find these so hard to review because it's not specific problems so much as a general lack of soul, or spark, or whatever you wanna call it. While I can rant about bad movies for hours, and good movies for even longer, mediocre movies are the ones for which I really struggle to get through even a short review",assertion,
"The Menu was terrible and it’s omission is well deserved.

The movie had absolutely nothing interesting to say. Every point it tries to make is full of hypocrisy.",assertion,
">Satyajit Ray is a lesser filmmaker than Ingmar Bergman

Satyajit Ray already gets plenty of international acclaim. As you mentioned sin your original post, he is the exception to the rule. Do you have any recommendations for the other directors you mentioned?

I think the main problem faced by Western (or maybe non-Indian) audiences and critics, is that there's so much output from India's different movie scenes that it's hard to navigate as an outsider. It's massive and dense, and those outside it don't have the context to navigate it without some guidance. Even just from a language perspective, there's nothing with that kind of variety.",assertion,
Such a horrendous take on aftersun. It’s a superbly made film that certainly flies by at around 90 minutes.,assertion,
"Glass Onion knows what it is and executes that vision better. For all its grandeur and tributes to pre-Code Hollywood, I felt that Babylon had very annoying dialogue and Robbie and Pitt’s characterisation did not sustain my interest for the running time.

Elvis is trash, worst movie I saw in 2022",assertion,
"‘tightly written’

Oh definitely. But I think that’s how I could enjoy Bruges over Banshees. Bruges gives me Lock, Stock and Two Smoking Barrels vibes but imo a tad better if I had to choose.",assertion,
"You know what, I think you are right. They love to publish these lists prematurely so it's totally possible they passed over Babylon in order to get the list out earlier.",assertion,
"Recently, Top Gun: Maverick. I try to judge movies by how well they accomplish what they set out to do, and I think this movie nailed what it was going for. I think it’s about as good as a Top Gun sequel probably could’ve been. I still didn’t like it. I admire it, and respect it, but that brand of cheese just isn’t for me.",assertion,
requiem for a dream is reefer madness for the 21st century. it's well constructed but it's so fuckin ridiculously over-the-top melodramatic that it's hard to take seriously,assertion,
"Prince of Darkness has serious momentum. It takes a little while to get cooking but once it does, it is so much fun, and it climaxes hinting at something with true enormity. 

Love this film, one of my top 2 or 3 from Carpenter. And his score helps give the movie its thrust.",assertion,
"Wrong. Heart of Darkness had nothing to do with satirizing imperialism. It was about the duality of man, of either giving into savagery or maintaining your humanity all set up with the backdrop of Belgian colonialism to evoke vitality.",assertion,
"I also really enjoyed the book. Didn’t read it until a couple years ago. It gave me more Fallout mental imagery vs the film, and I liked the protagonist more in the book. The movie is a work of art. Each scene a painting I’d love to see in a gallery, or on my wall. I adore the mood. The soundtrack is peak 80s, and nostalgic. I’ll rewatch often for all those reasons, and not the story. It’s nice both exist.",assertion,"praises mood/soundtrack but only decoratively, no specific instance"
"Yeah it sucks. Basically all midbudget US comedies that did well have died as genre. With the rare exceptions here and there. Those that're made for streaming mostly suck.

It seems studios are too risk averse, or see tv scratching that itch better.

I dunno what the answer is - how what was once a type of film that got people out to the cinema can return.",assertion,
I didn't like it. The middle third where they're talking over Skype should have been cut out and more time spent developing their childhood and present day. Or more time developing their teenage years right after Nora leaves Korea. The dialogue was also awkward at times.,assertion,
"Judd Apatow reduced cinematic cinema to two dudes saying funny things in non-descrupt rooms which essentially rendered it equal to tiktok and youtube content so most people stopped going to see comedies in theater. They have almost the same thing at home, comedically speaking, for free, why bother paying?",assertion,
The cop’s reaction was completely ridiculous but why do you act as if it was completely unprovoked as if he wasn’t trying to MURDER Sal and choke him to death 🙄,assertion,
"i had a pretty seriousl painkiller habit myself for years, the comparison i was making was more about the hysteria the movie treats the subject rather than a comparison of the drugs themselves, which i agree aren't really comparable",assertion,
"Some examples of these kinds of comedies released in the last few years. There are probably more:

Blockers (2018)

Booksmart (2019)

Yes, God, Yes (2019)

Freaky (2022)

Happy Death Day / 2 U (2017/19)

To All the Boys I've Loved Before + sequels (2018/20/21)

Do Revenge (2022)

Bottoms (2023)",assertion,
"Pacino took it past eccentric to “14 year old with too much caffeine during the holidays.” I am willing to forgive some of the pacing and weird sexual/gender role decisions as a symptom of the times, but the acting felt B movie, and not in a good way.",assertion,vivid acting verdict but no specific scene
"Very glad to see this mentioned here. This is a special movie for all of the reasons you describe — it’s just this kind of magical one-off thing that couldn’t have been longer, couldn’t have been shorter, couldn’t have been live action, etc etc. I saw it in my youth and loved it, then rewatched it again recently and was shocked to find how brilliant it is. Style over substance, trashy, hyperkinetic, unapologetic fun. Just pure amoral fun. A lot of movies try for this tone and very few manage it this well.",assertion,form claims (couldn't be longer/shorter) but no specific instance
Booksmart is the best of the bunch in recent years,assertion,
"I’ve seen this countless times. It is an absolute high water mark of animation. The style of animation reminds me of Redline, Super Jail, and also somewhat of FLCL. Dead Leaves reminds me mostly of Superjail just not quite as goofy.",assertion,"animation-style comparisons but as impression, no specific instance"
"I know everyone's entitled to their opinion, but I honestly can't understand how anyone could find Kidman being the better actor in that movie, especially in the scene you mentioned. Like, what ...Glad your comment has more support than his :D",assertion,"opinion on Kidman's acting, references a scene without describing it"
"Hmmm. I mean, its not the prettiest looking movie I've ever seen, and while I'm not saying the purpose of good cinematography is to be pretty, surely that ups your chances at getting a nomination for your pains!",assertion,"opinion on prettiness/nomination odds, no specific"
">An Oscar nomination is not necessarily some ""official"" determination of what's great or not.

No doubt, there are many more examples.

> You should look at the other four nominees that year in addition to Barry Lyndon.

Very impressive films, indeed",assertion,agrees and gestures at other nominees but names none himself
"All of Chris Nolan's movies suffer from the ""Basil Exposition"" syndrome.",assertion,
"Wow. I don't agree. Pacino is fantastic in everything.

If you go in expecting an action movie, you will be disappointed. The shootout was not the point.

It was basically a soap opera for men, about how this cop and this criminal live oddly similar lives.",assertion,"interprets Heat as ""similar lives"" soap opera, no specific scene"
"Absolutely. I think it's really important what goes said and unsaid in his inner thoughts. His philosophy about life also seems to be all over the place and superficial.

I like the thought that the Killer is kind of like a filmmaker, but I just don't get much out of that interpretation. Also I think Fincher would never make a movie about himself haha",assertion,
"Strongly agree. It also didn’t help that the other characters in the story weren’t interesting at all, and when they were on screen had one sided conversations with the silent Killer. On one hand I get the general idea that The Killer is an anti-social psychopath so I’m fine with him not speaking a lot - but then give us some other character we can enjoy or that contrasts in some way 

Also seemed like a lot of him breaking his own rules which he was constantly reciting in his head. Maybe that was explained in the source material but wasn’t in the film - unless I missed it?",assertion,reasons about characters/rules but names no specific beat
In my opinion The Killer is about as ‘footnote’ of a movie as it gets. No memorable characters. Nothing outside of what you expected from the genre. Nothing wrong with it - but nothing to write home about,assertion,
You mean people don’t just stand there letting you repeatedly spin-kick them in the face in real life? Have you even been in a fight?,assertion,snarky but engages realism of the fight choreography
"Definitely. There are references to corporations everywhere in the movie. I was surprised that he seemed to be making another movie about ""the system"".",assertion,"""references everywhere"" but no specific instance named"
"I’m saying even by action/martial arts movie standards, it’s very badly done",assertion,
"That middle one lives or dies based on how interesting and well depicted the virtual world is. It could be really great or it could be really awful, I don't think you can judge it yet.",assertion,
"All well and valid. I’m certainly not here to tell anyone how to interpret the film nor will I dissuade if anyone enjoyed it. It truly does feel like a straightforward endeavor from Fincher—which he has every right to do. Ultimately, I guess what I’m saying is that I found it rather bland. That’s all. His worst film is still miles above most folks but feels a bit like an outlier compared to his other works. 

Thank you for sharing the information though, it certainly clarifies some of the ambiguity I had with the film.",assertion,
"Just curious what you think has really good fight choreography. For me, The Raid: Redemption is just so amazing that it kind of ruins everything else. I think Ong Bak is pretty great and the first two Ip Man movies, early Jackie Chan is fun, but that’s about it for me these days.",assertion,"lists fight-choreography films as personal preference, no specific evidence"
"Tilda’s character is memorable to me. But overall I agree, i don’t think the rest will stick",assertion,"names Tilda's character as memorable but as impression, claim is ""rest won't stick"""
The first 20 minutes are the best part of of movie,assertion,
"It's not edgelord music, but when you think of a Smiths fan, you have an idea in your head, and it's not really that of this stone cold killer.",assertion,
"Yeah I somewhat agree, obviously those films are trash and there's a fundamental misunderstanding of how cinema works amidst a certain crowd of lowbrow watcher. their biggest gripes are usually superficial things like ""plot holes"" or ""bad characters"", and often use completely arbitrary statements like ""pacing"" to assess films, completely ignoring the importance of subtext. 

However I don't think appealing to authority in your last sentence is that fair. lot of great films have been critically panned, some of which were then reassessed decades down the line",assertion,cites critical-panning-then-reassessed pattern but names no specific film
Children of Men and Come And See are the only ones that come close for me,assertion,
"I'd only put Ran above it. And as you say, his legacy would be great with just his direction or his acting, he got both.",assertion,
"I agree I watched it recently and watched it again a week ago, and at some points I genuinely did laugh out loud, which is rare, especially when watching something alone. I felt attached to the characters, and wanted Josie and Isabel to end up together in the end: they were a cute couple. I also found the satire did work really well, it was a caricature of high school life, obviously it's not going to be realistic. People need to stop deeping everything",assertion,"mostly feelings about characters, but claims the satire worked as caricature"
"I really think that there is no more a reference to the exploitation of a capitalist system in the film than there is one about perfectionism in baking. I feel like you came to the film while thinking a lot about capitalism, so I see how that might fit, but perfectionism and trying to be very good at something and building your identity around it has nothing to do with money sometimes. Unless you count ""feeling good"" and ""being admired"" as a form of capital, in which case everything is capitalism.",assertion,
"I totally agree with you about the character of Hazel, she definitely stood out but was not classed as one of the protagonist, I feel with her is where the film tried to have their cake and eat it too. Her motivations and decisions made the film unique. I was surprised with myself on how much i enjoyed the film, i have been avoiding teen comedies lately and i'm glad that i did not avoid this one.",assertion,
"Barbie is more than marketing, it was so profound and excessive or even politicized. I don't live in the US so that might be the reason I find it so crazy and nonsense but as a role model or toy (whatever you say) Barbie means nothing to me. That movie and the crowd behind it make the whole thing as ""you don't adore the movie then you are sexist, you adore the movie then you're a great person"" You were attacked and got cancelled for telling ""it is OK just fun but nothing great"" so that reminded me of kpop scene and stan groups somehow.",assertion,claim Barbie is profound mixed with fandom discourse
Did you watch the movie? How can you watch that ending and think that Villeneuve thinks Paul is a hero let alone that he presented him as one?,assertion,"points to the ending as evidence but rhetorical, no detail of the ending"
"I know who Wes Anderson is.  A director with the specific style that I really like.  You can at the very least say that you can never expect where the stories he is telling are going.  It is always a delight to watch ones of his movies.

I know who Michel Legrand is.  A composer of some excellent soundtracks that were able to move into the mainstream and who has won several awards.  Some of the songs he made outside movies are still often used in short films or commercials (like  ""Di-gue-ding-ding"")

I do not know who Wesley Morris is.

I do not know The Big Picture Podcast.",assertion,"mostly about knowing film figures, lists Legrand credentials with light specifics"
"I kinda liked the 4th matrix, it wasn’t as groundbreaking as the first 2, but then what it right???? The commentary was a bit on the nose at times but I like what it did and for those who are younger or maybe had questions about aspects of the first 3 films what they were doing and what they were meant to be I feel like they filled it in nicely",assertion,
They were. This was new to them.,assertion,terse factual claim about characters
"To me it felt like they were supposed to make a trilogy, and then decided to just finish up the story and maybe do a third messiah movie somewhere down the line

Having part 2 be about his time with the Fremens, gaining their trust, winning territory, and then ending it with getting pushed back to the South would have made more sense imo. Then Part 3 is about the storyline in the south, becoming the chosen one, and the final battle",assertion,
"But, like, what are people reading to think Dune is a challenging book? I know that guy TheChrisLambert reads a lot of movie reviews so that his interpretation is always ""objectively"" right.",assertion,engages whether Dune is a hard book but mostly a jab at a person
"I 100% agree that in some spots it felt like a Nolan movie. The all over the place editing and erratic moving throughout the plot with seemingly only one goal, moving on to the next big set piece",assertion,"cites editing/Nolan comparison but decoratively, no specific scene"
Which they failed in imo. It felt like he was there one afternoon in the desert with Chani just messing around.,assertion,
"The movie is called Dune, Mr. Movie man. Why is that I wonder? The only point of comparison is the source text which, again, you have clearly not read. Stop calling people stupid and go get some exercise. It's an ""objective"" truth that it's good for humans, literate or not.",assertion,argues adaptation/source comparison point mixed with personal jabs
"personnaly, the dread of it all, the layer beneath the sensory overload that made the experience a symbolic driven catharsis, was how much these themes were relying on both family and tribal structures, and how the narrative translate to what the experience of cinema fundamentaly is - this stemming from what a visual narrative experience entails and how we relate to stories. 

all of this is very well articulated in the movie, in the pacing of the scenes and the overall structures. 

maybe it's not overly complex in its formulation of those themes but there is a lot it can give to chew on. you just have to go and lake the analogies between different visual elements. it demands you to interpret the dreams, if one could say so. look in the pond and ponder.",assertion,
"> In other tangents, his main criticism of ""Anatomy of a Fall"" was that no one else could have killed the husband (ummm, how about the husband?).

If you took that film to be an actual murder mystery then the point of the film flew right over your head.",assertion,"engages the Anatomy of a Fall interpretation but via a bare counter-point, no scene detail"
This. Helms Deep had me on the edge of my seat because I truly cared about the outcome and the wellbeing of the good guys. In Dune 2 I honestly couldnt care less about the “good guys” surviving. Had zero emotional connection with the main characters,assertion,uses Helms Deep as comparison but the point is lack of emotional connection (feeling)
"IF WE AREN'T MEANT TO COMPARE IT TO THE BOOKS (sic) 
THEY SHOULD'VE CALLED IT ""TheChrisLambert's revised and objectively correct story which leans heavily on Herbert's Dune but changes the story completely for people who don't read much""",assertion,"sarcastic adaptation-vs-book point, no specific instance"
"I enjoyed Yesterday. It was released during a time before the whole alternate universe thing got stale. I like that he became famous because I really pulled for that character. Your scenario would have been a depression fest. Of course I’ve seen Requiem for a Dream, Schindler’s List, and Oldboy… but by doing a sort of A Star is Born with a guy in that universe, it’s charming. Kids can watch it too. I miss films like this. Kids with their parents deserve to both be able to go to cinema together and not be tortured with superhero or over the top cartoon.

I liked the plot of Yesterday.",assertion,
Its weird because I did feel like the climax went by to quickly. (Except for the duel there wasnt a single moment where I felt anything even approaching tension.) But I also find the color palette of the majority of these movies to be so fucking boring that I just kind of wanted to leave in the middle of the big battle.,assertion,"mostly boredom/feeling, scene refs decorative"
As someone who hasnt reed the book I kind of feel like that added to the scene tho? That he doesnt need to be able to fight any of them he just needed to convince them that was the case?,assertion,
We can refer to the canonical lynch film for that,assertion,"brief pointer to the Lynch Dune film, minimal claim"
"I think what you’re getting at is actually part of the movie’s strength.

It’s not a modern story of complex and conflicted protagonists finding their way through a morally grey world, but unabashedly an epic romance and a story of heroes and villains. In that sense, archetypal characters serve the story best, giving everything this heightened and certain feel, where the stakes and the world and the people are clearly defined.

Kinda like old stories of knights and princesses and dragons.",assertion,
"Yeah compare them to say, James Cameron, who makes visually impressive, but for me anyway the emotionally vacuous and uninteresting Avatar movies",assertion,
We actually watched this a few weeks ago and I agree completely with you. Something about it felt dated and despite the great score and some flashes of brilliance I don't think it's one I'd rewatch again or rate as highly as I once did. The script is a lot weaker than I remembered.,assertion,
"Whew, thought maybe it was just me on Zendaya. She is not good at romance and affection.",assertion,
"I had all the same questions, but I feel like the movie very deliberately doesn’t answer them, I think it’s a stylistic choice honestly. Personally I love it, it just makes me want to watch again or read more about the lore",assertion,
I recently watched this for the first time and felt the same way. I suppose the subject matter and the way it was treated could have been unique at the time it came out. I found the film pretty unremarkable,assertion,
I mean SHOWING UP literally just played at Cannes and it's on here. There has been way more opportunity to see Babylon.,argument,
"When Sight and Sound's 50 best films of 2022 (generated from submitted critics top 10 lists) came out on Dec. 19, Showing Up got an even higher ranking of 13 (from 12 votes).

I don't know Babylon's exact release schedule (first showing November?), but it shows it's first review on RT was in mid-December.  Most or all critics top films of the year lists were already out by then...",argument,cites specific Sight and Sound ranking and RT review dates as factual evidence for release-timing argument
"What did you like about Northman? 

Felt like a film that was adding in spooky action scenes to reach mass audiences. But the action was pretty boring in retrospect, the twist with Nicole Kidman was telegraphed, and I had no reaction to the last 30 minutes other than thinking Skaarsgards character wasn’t much of a hero if he got his ass kicked for most of the film and then couldn’t even beat his “evil” uncle. 

Not sure what the point is of wasting the screen time to get that badass sword when he spends most of his screen time in bandages from aforementioned ass beatings. Also not sure why the film tries to mythologize the journey by pretending the psychedelic vision of a family dynasty justified the entire revenge plot. In reality, the kid probably would’ve preferred to grow up with a father. Pretty soulless film with zero takeaways.

Hats off to the choreographer though I guess.",argument,
i disagree with the idea that jeff seems more real with dorothy. maybe that was the intention but…they barely say two words to each other?? to me he’s more fascinated with her in the way that a lot of men think they like with just cause you’re pretty without actually getting to know you lol,argument,
"Studios set up critics' screenings and send digital copies of the movie to critics. Believe me, it was seen by every serious critic that works for a major outlet or is a member of a major critics' association or awards group.

Films by major directors, production and distribution companies and/or awards season potential opening in December (even the last week of December) is not a new thing, and it's film marketing 101 to have it in front of critics and award show voters before top 10 lists and nomination ballots are due.",argument,
